#,Invoice,Additional information,Right steering wheel position,Climatisation,Colour,Origin,Varnish,Number of Seats,Door Count,Power,Type,Drive,VIN number,Brand,Offer type,Light,Origin,Engine capacity,Mileage,Fuel,Year of production,Transmission,Condition,Varnish,Features- safety,Features-  comfort,Features-  multimedia,Features- other,Download_date,Model,Ticket,Price,Serie,Title
0,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,inny,Niemcy,Per?owy,4/5,5,190 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,1968 cm³,163 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:06.138333,A4,9427109911,85900,B9 (2015-),A4 S-LINE PLUS 190PS VIRTUAL FULL LED ALU 19'RS! 9427109911 - Allegro.pl
1,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Belgia,Metalik,,5,140 KM,Kombi,Na przednie ko?a,WAUZZZ8E76A271218,Audi,sprzeda?,,import,1968 cm³,273000 km,Diesel,2006,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:07.146825,A4,9469022477,16900,B7 (2004-2007),Audi A4 Bi xenon Skóry Tempomat Pdc Alu 17' 9469022477 - Allegro.pl
2,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Szary,,Metalik,2/3,5,224 KM,Coupe,4x4,,Audi,sprzeda?,,,1984 cm³,53000 km,Benzyna,2014,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:08.558014,A5,9435054078,64900,8T (2007-2016),Audi A5 2.0 Tfsi 224 KM 2014 Warszawa 9435054078 - Allegro.pl
3,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Czarny,,Metalik,,5,190 KM,Coupe,4x4,,Audi,sprzeda?,,,2000 cm³,179515 km,Diesel,2015,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:09.733525,A5,9344549698,75900,8T (2007-2016),S-LINE_2.0 TDI 190_QUATTRO STRONIC_COUPE_RADAR 9344549698 - Allegro.pl
4,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna czterostrefowa,Czarny,,Metalik,4/5,5,204 KM,Kombi,4x4,,Audi,sprzeda?,,import,2967 cm³,257000 km,Diesel,2013,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:11.091493,A6,8999545437,69900,C7 (2011-),IDEA? 3.0TDI 2xSLINE QUATTRO KAMERA NAVI LED IG?A 8999545437 - Allegro.pl
5,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Szary,Niemcy,Metalik,4/5,5,140 KM,Hatchback,Na przednie ko?a,,Audi,sprzeda?,,import,2000 cm³,243000 km,Diesel,2006,Manualna,U?ywany,,,,,,2020-07-07 15:00:12.541745,A3,9438241478,18700,8P (2003-2012),AUDI A3 2.0 TDI 140KM 8P_SPORTBACK_SUPER STAN! 9438241478 - Allegro.pl
6,Nie wystawiam faktury,,,automatyczna jednostrefowa,Zielony,,,,5,125 KM,Liftback,Na przednie ko?a,,Audi,,,,1781 cm³,210000 km,Benzyna,1999,Manualna,U?ywany,,ABS,,,,2020-07-07 15:00:13.774470,A3,9455411035,5000,8L (1996-2003),Audi a3 1.8 Alcantara Klima 5-drzwi ! 9455411035 - Allegro.pl
7,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,,Metalik,4/5,5,163 KM,Kombi,4x4,,Audi,sprzeda?,,,2393 cm³,274000 km,Benzyna + LPG,2005,Manualna,U?ywany,,,,,,2020-07-07 15:00:14.896985,A6,9332945684,23700,C6 (2004-2011),AUDI A6 C6 2.4 V6 163KM QUATTRO GAZ SKÓRA XENON 9332945684 - Allegro.pl
8,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Szary,,Metalik,4/5,5,190 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,,2000 cm³,145 km,Diesel,2017,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:16.647258,A4,9448705368,89900,B9 (2015-),PI?KNY SZARY S-LINE 2.0TDI VIRTUAL KAMERA MATRIX 9448705368 - Allegro.pl
9,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Niebieski,,Metalik,,5,143 KM,Kombi,Na przednie ko?a,,Audi,,,,1986 cm³,218201 km,Diesel,2011,Manualna,U?ywany,,,,,,2020-07-07 15:00:18.372953,A4,9438943506,32900,B8 (2007-2015),"2,0TDI 143 PS * FULL FULL OPCJA * RADAR * SERWIS * 9438943506 - Allegro.pl"
10,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Niemcy,Metalik,,5,190 KM,Kombi,4x4,WAUZZZF44HA072849,Audi,sprzeda?,,import,1968 cm³,152079 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:00:19.801093,A4,9432859020,84900,B9 (2015-),KONKRET 2.0TDI 190 QUATTRO_KAMERA 360_SAM PARKUJE 9432859020 - Allegro.pl
11,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Polska,Metalik,4/5,5,150 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,?wiat?a mijania LED,,1968 cm³,232000 km,Diesel,2014,Automatyczna,U?ywany,,,,,,2020-07-07 15:00:20.972039,A4,9437701367,49999,B8 (2007-2015),Audi A4 2.0 9437701367 - Allegro.pl
